id,file,line,claim,reported,recomputed,status,evidence,note
FU0026,paper/audit/input_source/followup_appendix.tex,36,Probe seed 0 checkpoint,17494,17494,PASS,work/experiments/seed0_dense_event/metadata.json,
FU0027,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 data train/test sizes,"[3830, 8939]","[3830, 8939]",PASS,work/experiments/seed0_dense_event/features.npz,
FU0028,paper/audit/input_source/followup_appendix.tex,36,Probe seed 0 healthy heldout accuracy,99.51,99.50777491889473,PASS,work/experiments/seed0_dense_event/features.npz; work/experiments/seed0_dense_event/decoder_whitened.npz,
FU0029,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 healthy converged,true,true,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0030,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 healthy full dimension and uncentered,"[128, false]","[128, false]",PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0031,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 healthy singular floor,1e-06,1e-06,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0032,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 healthy inner validation fraction,0.2,0.2,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0033,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 healthy lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0034,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 healthy CV selection valid,0.0,0.0,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0035,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 healthy all inner fits converged,true,true,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0036,paper/audit/input_source/followup_appendix.tex,36,Probe seed 0 collapsed heldout accuracy,98.72,98.7246895625909,PASS,work/experiments/seed0_dense_event/features.npz; work/experiments/seed0_dense_event/decoder_whitened.npz,
FU0037,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 collapsed converged,true,true,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0038,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 collapsed full dimension and uncentered,"[128, false]","[128, false]",PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0039,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 collapsed singular floor,1e-06,1e-06,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0040,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 collapsed inner validation fraction,0.2,0.2,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0041,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 collapsed lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0042,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 collapsed CV selection valid,0.0,0.0,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,
FU0043,paper/audit/input_source/followup_appendix.tex,34,Probe seed 0 collapsed all inner fits converged,true,true,PASS,work/experiments/seed0_dense_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0044,paper/audit/input_source/followup_appendix.tex,36,Probe seed 1 checkpoint,17721,17721,PASS,work/basis_study/seed1_first_event/metadata.json,
FU0045,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 data train/test sizes,"[3830, 8939]","[3830, 8939]",PASS,work/basis_study/seed1_first_event/features.npz,
FU0046,paper/audit/input_source/followup_appendix.tex,36,Probe seed 1 healthy heldout accuracy,99.56,99.56370958720214,PASS,work/basis_study/seed1_first_event/features.npz; work/basis_study/seed1_first_event/decoder_whitened.npz,
FU0047,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 healthy converged,true,true,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0048,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 healthy full dimension and uncentered,"[128, false]","[128, false]",PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0049,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 healthy singular floor,1e-06,1e-06,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0050,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 healthy inner validation fraction,0.2,0.2,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0051,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 healthy lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0052,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 healthy CV selection valid,0.0,0.0,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0053,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 healthy all inner fits converged,true,true,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0054,paper/audit/input_source/followup_appendix.tex,36,Probe seed 1 collapsed heldout accuracy,98.2,98.19890368050118,PASS,work/basis_study/seed1_first_event/features.npz; work/basis_study/seed1_first_event/decoder_whitened.npz,
FU0055,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 collapsed converged,true,true,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0056,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 collapsed full dimension and uncentered,"[128, false]","[128, false]",PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0057,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 collapsed singular floor,1e-06,1e-06,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0058,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 collapsed inner validation fraction,0.2,0.2,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0059,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 collapsed lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0060,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 collapsed CV selection valid,0.0,0.0,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,
FU0061,paper/audit/input_source/followup_appendix.tex,34,Probe seed 1 collapsed all inner fits converged,true,true,PASS,work/basis_study/seed1_first_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0062,paper/audit/input_source/followup_appendix.tex,36,Probe seed 2 checkpoint,18069,18069,PASS,work/basis_study/seed2_first_event/metadata.json,
FU0063,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 data train/test sizes,"[3830, 8939]","[3830, 8939]",PASS,work/basis_study/seed2_first_event/features.npz,
FU0064,paper/audit/input_source/followup_appendix.tex,36,Probe seed 2 healthy heldout accuracy,100.0,100.0,PASS,work/basis_study/seed2_first_event/features.npz; work/basis_study/seed2_first_event/decoder_whitened.npz,
FU0065,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 healthy converged,true,true,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0066,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 healthy full dimension and uncentered,"[128, false]","[128, false]",PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0067,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 healthy singular floor,1e-06,1e-06,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0068,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 healthy inner validation fraction,0.2,0.2,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0069,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 healthy lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0070,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 healthy CV selection valid,1e-08,1e-08,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0071,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 healthy all inner fits converged,true,true,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0072,paper/audit/input_source/followup_appendix.tex,36,Probe seed 2 collapsed heldout accuracy,100.0,100.0,PASS,work/basis_study/seed2_first_event/features.npz; work/basis_study/seed2_first_event/decoder_whitened.npz,
FU0073,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 collapsed converged,true,true,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0074,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 collapsed full dimension and uncentered,"[128, false]","[128, false]",PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0075,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 collapsed singular floor,1e-06,1e-06,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0076,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 collapsed inner validation fraction,0.2,0.2,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0077,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 collapsed lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0078,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 collapsed CV selection valid,0.0,0.0,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,
FU0079,paper/audit/input_source/followup_appendix.tex,34,Probe seed 2 collapsed all inner fits converged,true,true,PASS,work/basis_study/seed2_first_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0080,paper/audit/input_source/followup_appendix.tex,36,Probe seed 3 checkpoint,16309,16309,PASS,work/basis_study/seed3_peak_event/metadata.json,
FU0081,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 data train/test sizes,"[3830, 8939]","[3830, 8939]",PASS,work/basis_study/seed3_peak_event/features.npz,
FU0082,paper/audit/input_source/followup_appendix.tex,36,Probe seed 3 healthy heldout accuracy,99.4,99.3959055822799,PASS,work/basis_study/seed3_peak_event/features.npz; work/basis_study/seed3_peak_event/decoder_whitened.npz,
FU0083,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 healthy converged,true,true,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0084,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 healthy full dimension and uncentered,"[128, false]","[128, false]",PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0085,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 healthy singular floor,1e-06,1e-06,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0086,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 healthy inner validation fraction,0.2,0.2,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0087,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 healthy lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0088,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 healthy CV selection valid,0.0,0.0,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0089,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 healthy all inner fits converged,true,true,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0090,paper/audit/input_source/followup_appendix.tex,36,Probe seed 3 collapsed heldout accuracy,98.77,98.76943729723683,PASS,work/basis_study/seed3_peak_event/features.npz; work/basis_study/seed3_peak_event/decoder_whitened.npz,
FU0091,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 collapsed converged,true,true,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0092,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 collapsed full dimension and uncentered,"[128, false]","[128, false]",PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0093,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 collapsed singular floor,1e-06,1e-06,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0094,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 collapsed inner validation fraction,0.2,0.2,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0095,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 collapsed lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0096,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 collapsed CV selection valid,0.0,0.0,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,
FU0097,paper/audit/input_source/followup_appendix.tex,34,Probe seed 3 collapsed all inner fits converged,true,true,PASS,work/basis_study/seed3_peak_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0098,paper/audit/input_source/followup_appendix.tex,36,Probe seed 4 checkpoint,16060,16060,PASS,work/experiments/seed4_peak_event/metadata.json,
FU0099,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 data train/test sizes,"[3830, 8939]","[3830, 8939]",PASS,work/experiments/seed4_peak_event/features.npz,
FU0100,paper/audit/input_source/followup_appendix.tex,36,Probe seed 4 healthy heldout accuracy,100.0,100.0,PASS,work/experiments/seed4_peak_event/features.npz; work/experiments/seed4_peak_event/decoder_whitened.npz,
FU0101,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 healthy converged,true,true,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0102,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 healthy full dimension and uncentered,"[128, false]","[128, false]",PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0103,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 healthy singular floor,1e-06,1e-06,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0104,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 healthy inner validation fraction,0.2,0.2,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0105,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 healthy lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0106,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 healthy CV selection valid,0.0,0.0,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0107,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 healthy all inner fits converged,true,true,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0108,paper/audit/input_source/followup_appendix.tex,36,Probe seed 4 collapsed heldout accuracy,100.0,100.0,PASS,work/experiments/seed4_peak_event/features.npz; work/experiments/seed4_peak_event/decoder_whitened.npz,
FU0109,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 collapsed converged,true,true,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0110,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 collapsed full dimension and uncentered,"[128, false]","[128, false]",PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0111,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 collapsed singular floor,1e-06,1e-06,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0112,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 collapsed inner validation fraction,0.2,0.2,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0113,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 collapsed lambda grid,"[0.0, 1e-08, 1e-06, 0.0001, 0.01]","[0.0, 1e-08, 1e-06, 0.0001, 0.01]",PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0114,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 collapsed CV selection valid,0.0,0.0,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,
FU0115,paper/audit/input_source/followup_appendix.tex,34,Probe seed 4 collapsed all inner fits converged,true,true,PASS,work/experiments/seed4_peak_event/decoder_whitened.json,"Manuscript says convergence is recorded, not that all candidates converge."
FU0116,paper/audit/input_source/followup_appendix.tex,49,Geometry seed 0 reference centered heldout backward error,43.63,43.630926454224394,PASS,work/experiments/seed0_dense_event/features.npz,
FU0117,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 0 0 full feature ranks,"[128, 128]","[128, 128]",PASS,work/experiments/seed0_dense_event/features.npz,
FU0118,paper/audit/input_source/followup_appendix.tex,49,Geometry seed 0 healthy centered heldout backward error,32.66,32.65774848810362,PASS,work/basis_study/seed0_matched_healthy_16906_17200/features.npz,
FU0119,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 0 1 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed0_matched_healthy_16906_17200/features.npz,
FU0120,paper/audit/input_source/followup_appendix.tex,49,Geometry seed 0 adjacent centered heldout backward error,1.88,1.8773883879022684,PASS,work/basis_study/adjacent_seed0/features.npz,
FU0121,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 0 2 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/adjacent_seed0/features.npz,
FU0122,paper/audit/input_source/followup_appendix.tex,43,Geometry seed 0 healthy interval duration matches,true,true,PASS,work/experiments/seed0_dense_event/metadata.json; work/basis_study/seed0_matched_healthy_16906_17200/geometry.json,Compared original metadata windows separately below.
FU0123,paper/audit/input_source/followup_appendix.tex,50,Geometry seed 1 reference centered heldout backward error,43.05,43.05416326314333,PASS,work/basis_study/seed1_first_event/features.npz,
FU0124,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 1 0 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed1_first_event/features.npz,
FU0125,paper/audit/input_source/followup_appendix.tex,50,Geometry seed 1 healthy centered heldout backward error,10.82,10.818239801868836,PASS,work/basis_study/seed1_matched_healthy/features.npz,
FU0126,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 1 1 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed1_matched_healthy/features.npz,
FU0127,paper/audit/input_source/followup_appendix.tex,50,Geometry seed 1 adjacent centered heldout backward error,4.63,4.631627791119528,PASS,work/basis_study/seed1_adjacent_event/features.npz,
FU0128,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 1 2 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed1_adjacent_event/features.npz,
FU0129,paper/audit/input_source/followup_appendix.tex,43,Geometry seed 1 healthy interval duration matches,true,true,PASS,work/basis_study/seed1_first_event/metadata.json; work/basis_study/seed1_matched_healthy/geometry.json,Compared original metadata windows separately below.
FU0130,paper/audit/input_source/followup_appendix.tex,51,Geometry seed 2 reference centered heldout backward error,9.05,9.051605953034422,PASS,work/basis_study/seed2_first_event/features.npz,
FU0131,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 2 0 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed2_first_event/features.npz,
FU0132,paper/audit/input_source/followup_appendix.tex,51,Geometry seed 2 healthy centered heldout backward error,2.76,2.760618640600219,PASS,work/basis_study/seed2_matched_healthy/features.npz,
FU0133,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 2 1 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed2_matched_healthy/features.npz,
FU0134,paper/audit/input_source/followup_appendix.tex,51,Geometry seed 2 adjacent centered heldout backward error,1.1,1.1030229814088965,PASS,work/basis_study/seed2_adjacent_event/features.npz,
FU0135,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 2 2 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed2_adjacent_event/features.npz,
FU0136,paper/audit/input_source/followup_appendix.tex,43,Geometry seed 2 healthy interval duration matches,true,true,PASS,work/basis_study/seed2_first_event/metadata.json; work/basis_study/seed2_matched_healthy/geometry.json,Compared original metadata windows separately below.
FU0137,paper/audit/input_source/followup_appendix.tex,52,Geometry seed 3 reference centered heldout backward error,45.73,45.72971158013332,PASS,work/basis_study/seed3_first_event/features.npz,
FU0138,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 3 0 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed3_first_event/features.npz,
FU0139,paper/audit/input_source/followup_appendix.tex,52,Geometry seed 3 healthy centered heldout backward error,14.3,14.296353692654023,PASS,work/basis_study/seed3_matched_healthy/features.npz,
FU0140,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 3 1 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed3_matched_healthy/features.npz,
FU0141,paper/audit/input_source/followup_appendix.tex,52,Geometry seed 3 adjacent centered heldout backward error,10.66,10.656025743353675,PASS,work/basis_study/seed3_adjacent_event/features.npz,
FU0142,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 3 2 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/seed3_adjacent_event/features.npz,
FU0143,paper/audit/input_source/followup_appendix.tex,43,Geometry seed 3 healthy interval duration matches,true,true,PASS,work/basis_study/seed3_first_event/metadata.json; work/basis_study/seed3_matched_healthy/geometry.json,Compared original metadata windows separately below.
FU0144,paper/audit/input_source/followup_appendix.tex,53,Geometry seed 4 reference centered heldout backward error,25.6,25.59888722284212,PASS,work/experiments/seed4_dense_event/features.npz,
FU0145,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 4 0 full feature ranks,"[128, 128]","[128, 128]",PASS,work/experiments/seed4_dense_event/features.npz,
FU0146,paper/audit/input_source/followup_appendix.tex,53,Geometry seed 4 healthy centered heldout backward error,1.18,1.1762902942186637,PASS,work/experiments/seed4_healthy_temporal_16044_16050/features.npz,
FU0147,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 4 1 full feature ranks,"[128, 128]","[128, 128]",PASS,work/experiments/seed4_healthy_temporal_16044_16050/features.npz,
FU0148,paper/audit/input_source/followup_appendix.tex,53,Geometry seed 4 adjacent centered heldout backward error,25.63,25.625863630889214,PASS,work/basis_study/adjacent_seed4/features.npz,
FU0149,paper/audit/input_source/followup_appendix.tex,38,Geometry seed 4 2 full feature ranks,"[128, 128]","[128, 128]",PASS,work/basis_study/adjacent_seed4/features.npz,
FU0150,paper/audit/input_source/followup_appendix.tex,43,Geometry seed 4 healthy interval duration matches,true,true,PASS,work/experiments/seed4_dense_event/metadata.json; work/basis_study/geometry_seed4_healthy_temporal_16044_16050/geometry.json,Compared original metadata windows separately below.
FU0151,paper/audit/input_source/followup_appendix.tex,43,Reference interval range,"[6, 508]","[6, 508]",PASS,work/experiments/seed0_dense_event; work/basis_study/seed1_first_event; work/basis_study/seed2_first_event; work/basis_study/seed3_first_event; work/experiments/seed4_dense_event,
FU0152,paper/audit/input_source/followup_appendix.tex,9,seed0_accurate6000 every update inspected,true,true,PASS,work/causal_study/main_runs/seed0_accurate6000/trajectory.csv,
